Customer ID,First Name,Last Name,MSISDN,Gender,DateOfBirth,Home Address,City,Postal Code,HouseholdId
1000974618157,Ngozi,Berry,70056277786,Male,08/12/1999,187 CHICORY RD NE,MILLEDGEVILLE,31061,SOLOMON136165321
1000974618158,Zainab,Baker,70088471369,Female,17/09/2010,10435 N LYNN CIR APT 9,JURUPA VALLEY,91752,ORR381448574
1000974618159,Saidu,Evans,70079396487,Male,09/08/2005,2365 WOODS AVE,MONTEREY PARK,91754,MARTINEZ149657137
1000974618160,Ejiro,Walker,70094941182,Female,13/11/1990,3700 DURANGO DR,PENSACOLA,32504,DURANT172628750
1000974618161,Nura,Mann,70012208336,Male,20/02/1969,PO BOX 76,COAL CREEK,81221,FRALEY276850584
1000974618162,Tamuno,Lewis,70098523117,Female,11/05/1952,4507 TALLULAH DR,SAN ANTONIO,78218,YAMAZI183545234
1000974618163,Boma,Stewart,70053403934,Female,02/08/2002,359 S ARCHWOOD WAY,GRANTSVILLE,84029,BIANCHI171185092
1000974618164,Ifeanyi,Park,70057338578,Male,09/07/1973,,FREDERICK,21701,SERRANO358640875
1000974618165,Bala,Robbins,70051284819,Male,22/01/1991,7899 PORTOFINO CT,NAPLES,34114,GILL212988550
1000974618166,Halima,Ochoa,70052680890,Male,16/01/2003,688 S MITCHELL AVE,ELMHURST,60126,LEWANDOWSKI205608462
1000974618167,Ejiro,Griffith,70084661310,Female,08/01/1954,298 BASS LAKE RD,TRAVERSE CITY,49685,MEYERS160446329
1000974618168,Zainab,Morton,70036101192,Male,10/10/1948,916 QUINNIPIAC AVE APT 12,NEW HAVEN,6513,KIM221634308
1000974618169,Ngozi,Moreno,70005136823,Female,15/10/2003,11 ELM AVE,RIVERHEAD,11901,VELIZ258516980
1000974618170,Ngozi,Crawford,70026394884,Male,29/01/2004,110 KENTUCKY AVE,FORT LAUDERDALE,33312,HAMPTON229118834
1000974618171,Abubakar,Garner,70090290849,Male,27/12/1956,517 RUSSELL RD,HARTSVILLE,29550,PRESCOTT268440893
1000974618172,Kunle,Ford,70087631335,Male,02/09/1980,62 LINDEN ST,ROCKVILLE CENTRE,11570,HANSEN248681486
1000974618173,Tunde,Hayes,70016966561,Male,21/12/1952,7312 35TH AVE APT C56,JACKSON HEIGHTS,11372,JOVA209498725
1000974618174,David,Fletcher,70037222171,Male,05/11/1972,7250 VANESSA DR,FORT WORTH,76112,TWYMAN209043523
1000974618175,Obinna,Wright,70025476324,Male,26/06/1976,4 WHITEFIELD TER,WILMINGTON,1887,CAPONE176116961
1000974618176,Amaka,Reed,70045736279,Female,21/05/1977,1415 ALTA VISTA DR,VISTA,92084,HERRERA122059220
1000974618177,Oghene,Brown,70032371974,Male,29/08/1984,1111 HIGH KNOLL DR,MIDLOTHIAN,76065,WANN107995137
1000974618178,Shehu,Ferguson,70040665801,Male,19/06/1968,4409 LYNNVIEW DR,LOUISVILLE,40216,SCHEIDT182401536
1000974618179,Oghene,Vazquez,70003485059,Male,21/01/1971,10243 ORANGE AVE,SOUTH GATE,90280,RODRIGUEZ102884152
1000974618180,David,Johnson,70047566462,Male,18/09/1968,517 RUSSELL RD,HARTSVILLE,29550,PRESCOTT268440893
1000974618181,Ifeanyi,Brown,70064512153,Female,20/10/1961,PO BOX 778,KASILOF,99610,BRAME276904405
1000974618182,Ese,Simmons,70049113588,Male,28/05/1959,PO BOX 76,COAL CREEK,81221,FRALEY276850584
1000974618183,Maryam,Reyes,70023596974,Female,24/08/1974,446 PUTNUM FOREST RD,STOWE,5672,SKEELS183008670
1000974618184,Obinna,Sanchez,70066730952,Male,01/09/2007,4710 CHESTER AVE,KANSAS CITY,66106,BOBKI185602078
1000974618185,Boma,Franco,70062669098,Female,16/12/1982,2946 N 40TH ST,MILWAUKEE,53210,WASHINGTON240428242
1000974618186,Alabo,Davis,70095277516,Female,12/10/1977,2505 DONNA DR,GRAND PRAIRIE,75051,ATHEY152537559
1000974618187,Kunle,West,70026697407,Female,26/09/1957,8387 CALGARY DR S,MOBILE,36695,ONDERDONK216873069
1000974618188,Maryam,Terry,70016352204,Male,17/12/1961,1913 GREGORY DR,TAMPA,33613,JENNINGS235651590
1000974618189,Amina,Mosley,70001666112,Male,25/09/1951,14 TRACY DR,AGAWAM,1001,SACCO232609294
1000974618190,Shehu,Anderson,70028360288,Female,21/02/2004,7250 VANESSA DR,FORT WORTH,76112,TWYMAN209043523
1000974618191,Oghene,Mcguire,70094676342,Male,17/05/1982,,WILLOWBROOK,60527,CUSICK358652253
1000974618192,Ifeanyi,Randall,70048868730,Male,14/02/1990,9178 W WIND ST,LUMBERTON,77657,OATS221712671
1000974618193,Ifeanyi,Ruiz,70027750728,Female,30/09/2005,688 S MITCHELL AVE,ELMHURST,60126,LEWANDOWSKI205608462
1000974618194,Shehu,Randall,70095884732,Female,14/09/1976,,AVERILL PARK,12018,CHAPPLE358638420
1000974618195,Zina,Green,70059629806,Male,13/01/1962,14 TRACY DR,AGAWAM,1001,SACCO232609294
1000974618196,Chinedu,Ruiz,70005244226,Female,07/09/1980,1146 COWART RD,PIERSON,32180,MOWERY109971578
1000974618197,Ejiro,Mason,70072672616,Female,03/10/1950,3418 SENATE AVE,FORT WAYNE,46806,DAVIS168967054
1000974618198,Shehu,Hoffman,70077216290,Female,07/12/1986,4202 KEANU ST APT 4,HONOLULU,96816,KIYONO179749382
1000974618199,Abubakar,Johnson,70078583419,Male,02/04/1994,,HUNTERSVILLE,28078,BANGURA358642170
1000974618200,Grace,Walker,70012511073,Male,18/09/2001,2027 CIRCLE WAY,HANFORD,93230,VILLEGAS140817265
1000974618201,Alabo,Thompson,70067693640,Female,12/01/1954,13912 NORTHWOOD VILLAGE DR,PIEDMONT,73078,JACKSON120783687
1000974618202,Amina,Wright,70073665132,Male,25/08/1980,3700 DURANGO DR,PENSACOLA,32504,DURANT172628750
1000974618203,Bala,Christian,70079232037,Male,16/04/1956,2101 VERDE DR,GLENN HEIGHTS,75154,RIVAS142966991
1000974618204,Abubakar,Gentry,70013332828,Female,10/03/1954,,COPPERAS COVE,76522,BROOKS358657284
1000974618205,Zainab,Taylor,70028243764,Female,26/10/2005,4536 PONSARD CT UNIT 1068,NORTH LAS VEGAS,89031,CUSTODIO183915349
1000974618206,Tega,Stevens,70022390172,Female,20/11/1958,161 E REXFORD DR,NEWPORT NEWS,23608,SMITH128883464
1000974618207,Zina,Carter,70054930178,Male,06/07/1958,651 JIM MOUNTAIN RD,MILL RUN,15464,CRAIG203255344
1000974618208,Halima,Johnston,70086674327,Male,04/07/1990,1005 COLUMBIA RD,HAGERSTOWN,21742,WILLIS227319015
1000974618209,Grace,Christensen,70005698317,Female,22/10/1973,2010 W WEBSTER AVE APT 2F,CHICAGO,60647,HENSON140244247
1000974618210,Amaka,Potter,70031284523,Female,24/12/2002,3018 KANSAS CITY DR,MONROE,28110,SCHWARTZ161707575
1000974618211,Halima,Smith,70071695044,Female,27/12/1961,13315 NASSAU DR,WOODBRIDGE,22193,KHAN118851426
1000974618212,Tega,Daniels,70008276665,Male,26/06/1998,,JACKSONVILLE,62650,REISCHE358653080
1000974618213,Chinedu,Davis,70099730043,Female,22/10/1968,409 DURANT DR,FAYETTEVILLE,28304,RODGERS177873622
1000974618214,Ngozi,Brown,70078339227,Male,26/01/1998,1524 BIGGERS RD,KIOWA,74553,LABOR126222710
1000974618215,Halima,Williams,70053854697,Male,29/05/1958,43007 LEMONWOOD DR,LANCASTER,93536,MCKERN181073474
