Customer ID,First Name,Last Name,MSISDN,Gender,DateOfBirth,Home Address,City,Postal Code,HouseholdId
10050077786,Ngozi,Berry,70056277786,Male,2003-09-22,187 CHICORY RD NE,MILLEDGEVILLE,31061,SOLOMON136165321
10050077795,Zainab,Baker,70088471369,Female,1995-05-18,10435 N LYNN CIR APT 9,JURUPA VALLEY,91752,ORR381448574
10050077804,Saidu,Evans,70079396487,Male,1967-01-18,2365 WOODS AVE,MONTEREY PARK,91754,MARTINEZ149657137
10050077806,Ejiro,Walker,70094941182,Female,1998-11-15,3700 DURANGO DR,PENSACOLA,32504,DURANT172628750
10050077810,Nura,Mann,70012208336,Male,1985-04-03,PO BOX 76,COAL CREEK,81221,FRALEY276850584
10050077815,Tamuno,Lewis,70098523117,Female,1995-10-21,4507 TALLULAH DR,SAN ANTONIO,78218,YAMAZI183545234
10050077822,Boma,Stewart,70053403934,Female,1978-12-22,359 S ARCHWOOD WAY,GRANTSVILLE,84029,BIANCHI171185092
10050077823,Ifeanyi,Park,70057338578,Male,1956-08-06,358 FREDERICK ROAD,FREDERICK,21701,SERRANO358640875
10050077828,Bala,Robbins,70051284819,Male,1987-07-25,7899 PORTOFINO CT,NAPLES,34114,GILL212988550
10050077836,Halima,Ochoa,70052680890,Male,1952-04-25,688 S MITCHELL AVE,ELMHURST,60126,LEWANDOWSKI205608462
10050077845,Ejiro,Griffith,70084661310,Female,1975-06-07,298 BASS LAKE RD,TRAVERSE CITY,49685,MEYERS160446329
10050077853,Zainab,Morton,70036101192,Male,2005-03-31,916 QUINNIPIAC AVE APT 12,NEW HAVEN,6513,KIM221634308
10050077856,Ngozi,Moreno,70005136823,Female,1970-05-04,11 ELM AVE,RIVERHEAD,11901,VELIZ258516980
10050077859,Ngozi,Crawford,70026394884,Male,2008-10-29,110 KENTUCKY AVE,FORT LAUDERDALE,33312,HAMPTON229118834
10050077860,Abubakar,Garner,70090290849,Male,1955-05-05,517 RUSSELL RD,HARTSVILLE,29550,PRESCOTT268440893
10050077861,Kunle,Ford,70087631335,Male,1952-06-08,62 LINDEN ST,ROCKVILLE CENTRE,11570,HANSEN248681486
10050077865,Tunde,Hayes,70016966561,Male,1962-07-16,7312 35TH AVE APT C56,JACKSON HEIGHTS,11372,JOVA209498725
10050077874,David,Fletcher,70037222171,Male,1965-06-02,7250 VANESSA DR,FORT WORTH,76112,TWYMAN209043523
10050077879,Obinna,Wright,70025476324,Male,2005-11-25,4 WHITEFIELD TER,WILMINGTON,1887,CAPONE176116961
10050077885,Amaka,Reed,70045736279,Female,1971-11-25,1415 ALTA VISTA DR,VISTA,92084,HERRERA122059220
10050077892,Oghene,Brown,70032371974,Male,1979-05-06,1111 HIGH KNOLL DR,MIDLOTHIAN,76065,WANN107995137
10050077898,Shehu,Ferguson,70040665801,Male,1953-09-20,4409 LYNNVIEW DR,LOUISVILLE,40216,SCHEIDT182401536
10050077906,Oghene,Vazquez,70003485059,Male,1968-11-15,10243 ORANGE AVE,SOUTH GATE,90280,RODRIGUEZ102884152
10050077908,David,Johnson,70047566462,Male,2000-02-21,517 RUSSELL RD,HARTSVILLE,29550,PRESCOTT268440893
10050077915,Ifeanyi,Brown,70064512153,Female,1971-05-05,PO BOX 778,KASILOF,99610,BRAME276904405
10050077917,Ese,Simmons,70049113588,Male,1972-04-16,PO BOX 76,COAL CREEK,81221,FRALEY276850584
10050077926,Maryam,Reyes,70023596974,Female,1952-01-21,446 PUTNUM FOREST RD,STOWE,5672,SKEELS183008670
10050077932,Obinna,Sanchez,70066730952,Male,1994-08-31,4710 CHESTER AVE,KANSAS CITY,66106,BOBKI185602078
10050077934,Boma,Franco,70062669098,Female,1962-04-14,2946 N 40TH ST,MILWAUKEE,53210,WASHINGTON240428242
10050077938,Alabo,Davis,70095277516,Female,1972-11-25,2505 DONNA DR,GRAND PRAIRIE,75051,ATHEY152537559
10050077940,Kunle,West,70026697407,Female,1961-09-14,8387 CALGARY DR S,MOBILE,36695,ONDERDONK216873069
10050077941,Maryam,Terry,70016352204,Male,1963-09-01,1913 GREGORY DR,TAMPA,33613,JENNINGS235651590
10050077949,Amina,Mosley,70001666112,Male,2005-07-16,14 TRACY DR,AGAWAM,1001,SACCO232609294
10050077953,Shehu,Anderson,70028360288,Female,1988-12-13,7250 VANESSA DR,FORT WORTH,76112,TWYMAN209043523
10050077954,Oghene,Mcguire,70094676342,Male,2001-09-21,358 FREDERICK ROAD,WILLOWBROOK,60527,CUSICK358652253
10050077961,Ifeanyi,Randall,70048868730,Male,1972-07-01,9178 W WIND ST,LUMBERTON,77657,OATS221712671
10050077967,Ifeanyi,Ruiz,70027750728,Female,1963-01-02,688 S MITCHELL AVE,ELMHURST,60126,LEWANDOWSKI205608462
10050077973,Shehu,Randall,70095884732,Female,1988-01-21,160 TRAVERSE CITY ROAD,AVERILL PARK,12018,CHAPPLE358638420
10050077975,Zina,Green,70059629806,Male,1988-04-11,14 TRACY DR,AGAWAM,1001,SACCO232609294
10050077981,Chinedu,Ruiz,70005244226,Female,1984-11-15,1146 COWART RD,PIERSON,32180,MOWERY109971578
10050077983,Ejiro,Mason,70072672616,Female,1960-01-23,3418 SENATE AVE,FORT WAYNE,46806,DAVIS168967054
10050077990,Shehu,Hoffman,70077216290,Female,2000-01-21,4202 KEANU ST APT 4,HONOLULU,96816,KIYONO179749382
10050077999,Abubakar,Johnson,70078583419,Male,1959-02-13,248 ROCKVILLE CENTRE ROAD,HUNTERSVILLE,28078,BANGURA358642170
10050078002,Grace,Walker,70012511073,Male,1996-03-08,2027 CIRCLE WAY,HANFORD,93230,VILLEGAS140817265
10050078007,Alabo,Thompson,70067693640,Female,1967-05-20,13912 NORTHWOOD VILLAGE DR,PIEDMONT,73078,JACKSON120783687
10050078012,Amina,Wright,70073665132,Male,1986-12-15,3700 DURANGO DR,PENSACOLA,32504,DURANT172628750
10050078020,Bala,Christian,70079232037,Male,1965-01-11,2101 VERDE DR,GLENN HEIGHTS,75154,RIVAS142966991
10050078028,Abubakar,Gentry,70013332828,Female,1987-07-21,107 MIDLOTHIAN ROAD,COPPERAS COVE,76522,BROOKS358657284
10050078031,Zainab,Taylor,70028243764,Female,2009-05-03,4536 PONSARD CT UNIT 1068,NORTH LAS VEGAS,89031,CUSTODIO183915349
10050078037,Tega,Stevens,70022390172,Female,1975-11-04,161 E REXFORD DR,NEWPORT NEWS,23608,SMITH128883464
10050078045,Zina,Carter,70054930178,Male,2000-09-23,651 JIM MOUNTAIN RD,MILL RUN,15464,CRAIG203255344
10050078046,Halima,Johnston,70086674327,Male,2002-10-21,1005 COLUMBIA RD,HAGERSTOWN,21742,WILLIS227319015
10050078054,Grace,Christensen,70005698317,Female,1962-08-16,2010 W WEBSTER AVE APT 2F,CHICAGO,60647,HENSON140244247
10050078059,Amaka,Potter,70031284523,Female,1972-05-23,3018 KANSAS CITY DR,MONROE,28110,SCHWARTZ161707575
10050078067,Halima,Smith,70071695044,Female,1955-11-23,13315 NASSAU DR,WOODBRIDGE,22193,KHAN118851426
10050078068,Tega,Daniels,70008276665,Male,1969-09-28,240 MILWAUKEE ROAD,JACKSONVILLE,62650,REISCHE358653080
10050078076,Chinedu,Davis,70099730043,Female,1984-03-07,409 DURANT DR,FAYETTEVILLE,28304,RODGERS177873622
10050078085,Ngozi,Brown,70078339227,Male,1997-07-18,1524 BIGGERS RD,KIOWA,74553,LABOR126222710
10050078092,Halima,Williams,70053854697,Male,1997-04-15,43007 LEMONWOOD DR,LANCASTER,93536,MCKERN181073474
10050078095,Amina,Payne,70086775654,Female,1994-05-13,141 ROCK RIDGE DR,SOUTH ABINGTON TOWNSHIP,18411,FARIAS121785966
10050078101,Abubakar,Ewing,70048213711,Female,2007-07-24,47-381 HUI KOLOA PL,KANEOHE,96744,DIPALMA185410224
10050078102,Ngozi,Henson,70005981773,Female,1974-03-29,205 BARNHILL RD,LADSON,29456,SHILLING236651549
10050078105,Amina,Flores,70092815417,Female,1976-03-25,4702 MILWAUKEE ST,MADISON,53714,BREUNIG185497712
10050078107,Ejiro,Ford,70019638420,Male,1957-04-02,409 DURANT DR,FAYETTEVILLE,28304,RODGERS177873622
10050078108,Kunle,Shaw,70058995941,Female,1959-11-07,358 AVERILL PARK ROAD,CHARLOTTE,28273,CABALLERO358642246
10050078113,David,Schneider,70027623728,Female,1987-12-06,4315 BAIN AVE,SANTA CRUZ,95062,RYAN181307285
10050078119,Ejiro,Smith,70059514711,Female,2008-06-10,1 WESTBOURNE APT 4A,BRONXVILLE,10708,EPSTEIN100258689
10050078121,Halima,Anderson,70098237891,Male,1996-05-30,5534 LORI DR,BEDFORD,44146,DOSS194568161
10050078128,Tunde,Oliver,70046989684,Male,2006-08-15,398 LANKERSHIM AVE,HIGHLAND,92346,CALDWELL175832635
10050078134,Ese,Obrien,70023013055,Female,2000-02-26,1630 ROWLAND AVE NE,CANTON,44705,BRADLEY129693945
10050078140,Alabo,Keith,70076475066,Male,1956-04-30,701 SUNSET HILLS DR,MACON,63552,ATHA206765904
10050078142,Ngozi,Hernandez,70047438483,Male,2009-08-27,130 SPENCER ST # 1,DORCHESTER CENTER,2124,FRENCH117079328
10050078150,Ese,Flowers,70088831058,Female,2009-01-05,202 N WETHERLY DR,BEVERLY HILLS,90211,NASSIR140560477
10050078156,Ibim,Marshall,70054088267,Female,1984-09-18,2040 ARLINGTON DR,ROSEVILLE,95747,THEOFELIS141268021
10050078157,Tega,Medina,70019345360,Female,2009-01-08,2741 S JAY ST,DENVER,80227,SHEIH156923018
10050078159,Nura,Mcneil,70026309183,Female,2004-02-11,2101 VERDE DR,GLENN HEIGHTS,75154,RIVAS142966991
10050078162,Chinedu,Pitts,70012537451,Female,1967-04-03,128 NEWPORT NEWS ROAD,CUPERTINO,95014,LEPENEYRA358661243
10050078168,Alabo,Kelly,70025111746,Male,2008-09-30,15521 SHELL POINT BLVD,FORT MYERS,33908,KAIN127181699
10050078175,Fatima,Pennington,70093411213,Female,1955-11-05,22846 CHESTERVIEW LOOP APT 201,LAND O LAKES,34639,VANN147715014
10050078182,Kunle,Williams,70096599619,Female,1985-03-18,4142 GRAMERCY ST,HOUSTON,77025,XUE178926151
10050078184,Chinedu,Ortiz,70069339913,Male,1984-12-08,301 E MILTON ST,NEW FLORENCE,63363,JASPERING161436040
10050078190,Michael,Ortiz,70051723818,Female,1999-05-20,499 NORTHSIDE CIR NW,ATLANTA,30309,GONZALEZ187938137
10050078198,Shehu,Holt,70052474564,Female,2000-08-22,421 W BROADWAY APT 2100,LONG BEACH,90802,WATKINS179908440
10050078205,Maryam,Velez,70097199653,Male,1999-04-19,272 HIDDEN TRACE CT,MONTEVALLO,35115,BEAVER156526632
10050078209,Alabo,Turner,70093150683,Female,2003-10-28,5122 PENNSYLVANIA AVE,SAINT LOUIS,63111,TAYLOR190300973
10050078215,Amina,Rivas,70017450945,Female,1987-11-13,10243 ORANGE AVE,SOUTH GATE,90280,RODRIGUEZ102884152
10050078216,Omamuzo,Guerrero,70001392941,Male,1961-09-30,187 CHICORY RD NE,MILLEDGEVILLE,31061,SOLOMON136165321
10050078218,Amaka,Brown,70039734036,Female,2003-01-20,510 BRYANT AVE,MAGNOLIA,8049,FUCHS268303090
10050078221,Michael,Schultz,70020023249,Male,1988-11-29,110 KENTUCKY AVE,FORT LAUDERDALE,33312,HAMPTON229118834
10050078224,John,Montoya,70036035018,Female,1981-02-16,5122 PENNSYLVANIA AVE,SAINT LOUIS,63111,TAYLOR190300973
10050078226,Ngozi,Fox,70030981669,Male,1956-02-21,1524 BIGGERS RD,KIOWA,74553,LABOR126222710
10050078230,Chinedu,Burke,70041922416,Male,1990-10-10,9178 W WIND ST,LUMBERTON,77657,OATS221712671
10050078231,Amaka,Webb,70076823356,Male,2005-06-04,181 SANTA CRUZ ROAD,BUENA,8310,ARROYO358637877
10050078234,Maryam,Tucker,70055369307,Male,1985-12-21,4536 PONSARD CT UNIT 1068,NORTH LAS VEGAS,89031,CUSTODIO183915349
10050078238,Sarah,James,70053859130,Male,1989-08-29,1111 HIGH KNOLL DR,MIDLOTHIAN,76065,WANN107995137
10050078239,Tega,Turner,70040387474,Female,1972-10-25,5449 E WAVERLY ST,TUCSON,85712,HOLCOM193733198
10050078248,Ese,Perez,70002529798,Female,1988-12-13,PO BOX 76,COAL CREEK,81221,FRALEY276850584
10050078249,Tega,Murray,70068036439,Female,1954-04-03,11625 WESTRIDGE PL,LAKESIDE,92040,ZEARS110805596
10050078255,Boma,Gonzalez,70087364283,Male,1994-10-02,367 ERIC WAY,GRANTS PASS,97526,WALSH172305516
10050078259,Kunle,Davis,70048107346,Male,2002-05-03,911 SHILOH RIDGE RUN NW,KENNESAW,30144,WILSON221282506
10050078265,Bola,Brown,70063277364,Female,1969-01-01,141 ROSEVILLE ROAD,GLENDALE,91204,CERVANTES358660288
10050078269,Ifeanyi,Burns,70023494458,Female,1994-02-24,4702 MILWAUKEE ST,MADISON,53714,BREUNIG185497712
10050078271,Chinedu,Barrera,70057653009,Male,2006-02-23,13494 ARTISAN CIR,PALM BEACH GARDENS,33418,YOUNG119433131
10050078274,Zina,Fischer,70095487451,Male,1976-07-05,40 LOEFFLER RD APT TW437,BLOOMFIELD,6002,WIRSUL176183980
10050078279,Amaka,Garcia,70098699007,Female,2001-01-28,1020 NW 41ST ST,MIAMI,33127,WALKER227815682
10050078281,Abubakar,Holmes,70017915128,Male,1959-12-14,299 S HARRISON ST APT 2EW,EAST ORANGE,7018,BAPTISTE160544549
10050078282,Bola,Rogers,70073286566,Male,1954-10-31,879 E DELLBROOK LN,DUNNELLON,34434,WILLS219052799
10050078286,John,Rose,70067705268,Female,1968-03-24,7250 VANESSA DR,FORT WORTH,76112,TWYMAN209043523
10050078295,Tamuno,Bates,70065775905,Male,1999-05-23,2027 CIRCLE WAY,HANFORD,93230,VILLEGAS140817265
10050078301,Ibim,Richards,70086700885,Female,2003-09-19,510 STONEWAY DR NW,SALEM,97304,ALLEN189901623
10050078302,Fatima,Blevins,70086704618,Male,1962-03-16,250 CROWN ST APT 2I,BROOKLYN,11225,OSTANE152277300
10050078308,Bala,Smith,70087195280,Male,1965-03-30,130 SPENCER ST # 1,DORCHESTER CENTER,2124,FRENCH117079328
10050078314,Michael,Evans,70098800264,Male,1970-09-10,139 EMERSON PL APT 101,BROOKLYN,11205,ADEOJO120688425
10050078315,Amina,Todd,70078496610,Female,1978-01-27,879 E DELLBROOK LN,DUNNELLON,34434,WILLS219052799
10050078317,Maryam,Smith,70001147974,Female,1971-12-01,4507 TALLULAH DR,SAN ANTONIO,78218,YAMAZI183545234
10050078319,Bola,Garcia,70025244184,Male,1952-01-11,PO BOX 76,COAL CREEK,81221,FRALEY276850584
10050078324,Sade,Collins,70038508514,Male,1957-09-02,1415 ALTA VISTA DR,VISTA,92084,HERRERA122059220
10050078331,Zainab,Garcia,70040155586,Female,2003-05-19,4409 LYNNVIEW DR,LOUISVILLE,40216,SCHEIDT182401536
10050078335,Omamuzo,Terry,70018716666,Male,1951-02-26,PO BOX 778,KASILOF,99610,BRAME276904405
10050078336,Fatima,Lindsey,70011732245,Female,1975-06-13,1947 HIBISCUS LN,RIVIERA BEACH,33404,ROBINSON138202339
10050078339,Tunde,Smith,70020584125,Female,1955-05-07,272 HIDDEN TRACE CT,MONTEVALLO,35115,BEAVER156526632
10050078343,Grace,Fowler,70072076811,Male,1985-12-16,107 MIDLOTHIAN ROAD,CHARLOTTE,28273,CABALLERO358642246
10050078352,Tega,Chen,70015259738,Female,1998-08-22,110 KENTUCKY AVE,FORT LAUDERDALE,33312,HAMPTON229118834
10050078354,Shehu,Nguyen,70095220330,Female,1957-12-02,7249 WOLFSBORO LN,FORT WAYNE,46835,SHEEHAN208984934
10050078362,Halima,Aguilar,70043828176,Female,1960-11-02,7250 VANESSA DR,FORT WORTH,76112,TWYMAN209043523
10050078365,Ejiro,Ware,70082486279,Male,1964-09-17,417 HELVETIA PIKE,MILL CREEK,26280,TETER179256953
10050078368,Ifeanyi,Clayton,70027735835,Male,1987-04-07,3041 N 2780 RD,HENNESSEY,73742,MARNEY162301613
10050078372,Sade,Berry,70090317420,Male,1990-12-03,1105 W 51ST PL,LOS ANGELES,90037,VARGAS107493878
10050078376,Shehu,Lee,70070979168,Female,1955-03-04,8010 SHANTUNG DR,SANTEE,92071,CASSADY214031102
10050078377,Tamuno,Greer,70023799480,Male,1998-03-11,2098 ORANGE AVE E,SAINT PAUL,55119,THAO142571742
10050078383,Funke,Hart,70017625952,Male,1956-04-06,176 BLOOMFIELD ROAD,GRAND PRAIRIE,75050,LANGSTON358656742
10050078386,Nura,Yang,70069496315,Male,1972-05-02,11 ELM AVE,RIVERHEAD,11901,VELIZ258516980
10050078391,Oghene,Cooper,70000477789,Female,1999-01-10,3253 46TH ST,ASTORIA,11103,ARTOGLOU166404699
10050078398,Obinna,Branch,70060847402,Female,1963-11-10,1587 PO BOX,ORANGEVALE,95662,DOMINGUEZ359978127
10050078407,Bola,Anderson,70025790996,Male,1978-11-02,17853 STEADING RD,EDEN PRAIRIE,55347,FRISCHMON133827207
10050078413,John,Hill,70035797678,Female,1953-07-23,272 HIDDEN TRACE CT,MONTEVALLO,35115,BEAVER156526632
10050078422,Zina,Singh,70000441999,Female,1975-09-28,2101 VERDE DR,GLENN HEIGHTS,75154,RIVAS142966991
10050078428,Ibim,Brown,70098322669,Male,1959-05-28,152 BROOKLYN ROAD,COLUMBUS,43085,TORRES358646289
10050078431,Saidu,Holt,70055561663,Female,1981-05-01,242 PALMER ST,FALL RIVER,2724,ANGLACE150861034
10050078437,Amaka,Vang,70013153156,Male,1958-05-02,120 BROOKLYN ROAD,PORT SULPHUR,70083,SPARACINA358655249
10050078444,Ibim,Faulkner,70053266288,Female,1953-03-26,5 CEDAR ST,GREENBRIER,72058,MCCOLLUM281941499
10050078449,Bala,Hood,70040170464,Female,1960-10-29,242 PALMER ST,FALL RIVER,2724,ANGLACE150861034
10050078455,Bola,Brooks,70073086716,Female,1968-11-22,651 JIM MOUNTAIN RD,MILL RUN,15464,CRAIG203255344
10050078456,Fatima,Wheeler,70016963954,Male,1952-10-28,446 PUTNUM FOREST RD,STOWE,5672,SKEELS183008670
10050078464,Halima,Valencia,70081709942,Female,1956-12-21,11079 E SORREL LN,SCOTTSDALE,85259,JOSEPH107611180
10050078465,Tamuno,Boyd,70006751736,Female,1981-12-04,7249 WOLFSBORO LN,FORT WAYNE,46835,SHEEHAN208984934
10050078468,Chinedu,Martinez,70069376073,Female,1969-08-25,138 RIVIERA BEACH ROAD,CHINO,91710,MARY358660351
10050078476,Ejiro,Finley,70057354706,Male,1965-11-08,75 STAPLE ST,GLENS FALLS,12801,SHUFELT210710403
10050078483,Omamuzo,Levine,70056072675,Male,2004-03-22,246 FOLK ST,EASTON,18042,HURST151629809
10050078486,Ejiro,Roman,70001029281,Female,1992-02-18,2505 DONNA DR,GRAND PRAIRIE,75051,ATHEY152537559
10050078488,Tega,Mendez,70020820209,Female,1974-08-13,1755 ROCK SPRINGS RD,SAN MARCOS,92069,HUEBNER133259671
10050078492,Tamuno,Yang,70092978088,Male,1990-11-28,3700 DURANGO DR,PENSACOLA,32504,DURANT172628750
10050078495,Maryam,Williams,70053712665,Male,1957-03-07,446 PUTNUM FOREST RD,STOWE,5672,SKEELS183008670
10050078497,David,Miller,70036854435,Male,2009-03-09,15521 SHELL POINT BLVD,FORT MYERS,33908,KAIN127181699
10050078498,Ngozi,Fowler,70031116258,Female,1984-05-10,5122 PENNSYLVANIA AVE,SAINT LOUIS,63111,TAYLOR190300973
10050078506,Ifeanyi,Garcia,70097345695,Female,1991-02-24,214 SANTEE ROAD,YONKERS,10701,MICHAEL358638155
10050078508,Ifeanyi,Jimenez,70028966056,Male,1954-09-04,142 SAINT PAUL ROAD,ALTOONA,50009,SELLERS358648875
10050078514,Kunle,Nielsen,70048352348,Male,2005-05-03,306 DAVIS ST,CLARKSBURG,26301,DENNISON241166595
10050078518,Oghene,Diaz,70094655528,Female,1961-07-01,87860 TERRITORIAL RD SPC 121,VENETA,97487,ROYBAL219043484
10050078524,Michael,Wilson,70059681610,Male,1959-12-07,5534 LORI DR,BEDFORD,44146,DOSS194568161
10050078529,Grace,Gallegos,70071477739,Female,1962-11-22,2027 CIRCLE WAY,HANFORD,93230,VILLEGAS140817265
10050078532,Nura,Jackson,70057726632,Female,1953-11-25,1619 ARLINGTON ST,KINGMAN,86401,CANNON292260348
10050078541,Maryam,Diaz,70058321381,Female,1978-12-05,1 WESTBOURNE APT 4A,BRONXVILLE,10708,EPSTEIN100258689
10050078542,Oghene,Allison,70079481286,Male,1971-03-22,142 GLENN HEIGHTS ROAD,KINGSTON,12401,ARSLAN358638515
10050078546,Sade,Suarez,70078494234,Male,2005-08-02,3041 N 2780 RD,HENNESSEY,73742,MARNEY162301613
10050078547,Ejiro,Thomas,70003980484,Female,1968-03-10,911 SHILOH RIDGE RUN NW,KENNESAW,30144,WILSON221282506
10050078549,Abubakar,Weiss,70060279514,Female,1973-10-01,1 WESTBOURNE APT 4A,BRONXVILLE,10708,EPSTEIN100258689
10050078550,Maryam,Dean,70074183712,Male,1976-04-21,5 CEDAR ST,GREENBRIER,72058,MCCOLLUM281941499
10050078559,Amaka,Whitaker,70071343920,Female,1971-11-09,150 FALL RIVER ROAD,YONKERS,10701,MICHAEL358638155
10050078565,Maryam,Dixon,70075716576,Male,1971-03-16,40 LOEFFLER RD APT TW437,BLOOMFIELD,6002,WIRSUL176183980
10050078571,Obinna,Miller,70011060816,Male,1951-05-17,75 WEAVER AVE,ANDES,13731,JELLEN364147491
10050078579,Maryam,Soto,70089600791,Male,1966-01-07,242 PALMER ST,FALL RIVER,2724,ANGLACE150861034
10050078581,Kunle,Jones,70003543255,Female,2001-08-14,3650 HICKORY RIDGE CT,MARIETTA,30066,CHAN172144312
10050078589,Tamuno,Patton,70073198753,Female,1961-12-26,5449 E WAVERLY ST,TUCSON,85712,HOLCOM193733198
